ID;Word;Lemma;POS;Extra;Features;HeadPosition;Relation;_;Else
159;количество;количество;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#297.021#297.436
160;комментариев;комментарий;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#297.436#297.851
161;было;быть;AUX;_;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#297.851#298.266
162;под;под;ADP;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#298.266#298.681
163;/;/;PUNCT;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#298.681#299.096
164;вашим;ваш;DET;_;Case=Ins|Gender=Masc|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#299.096#299.511
165;видео?;видео?;SYM;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#299.511#299.926
166;/;/;PUNCT;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#299.926#300.341
167;Это;это;DET;_;Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#300.341#300.756
168;спасибо;спасибо;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#300.756#301.171
169;большое;большой;ADJ;_;Case=Acc|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#301.171#301.586
170;правительству;правительство;NOUN;_;Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#301.586#302.001
171;за;за;ADP;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#302.001#302.416
172;то;то;DET;_;Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#302.416#302.831
173;что;что;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#302.831#303.246
174;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#303.246#303.661
175;узнал;узнать;VERB;_;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#303.661#304.076
176;про;про;ADP;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#304.076#304.491
177;такую;такой;DET;_;Case=Acc|Gender=Fem|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#304.491#304.906
